2017-02-14 16:44:14,272 [Worker-15] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1256 actually) to copy filtered resources, i.e. build is platform dependent!
2017-02-14 16:44:14,277 [Worker-15] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-02-14 16:45:29,397 [Worker-15] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1256 actually) to copy filtered resources, i.e. build is platform dependent!
2017-02-14 16:45:29,403 [Worker-15] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 4 resources
2017-02-14 16:45:29,405 [Worker-15] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1256 actually) to copy filtered resources, i.e. build is platform dependent!
2017-02-14 16:45:29,411 [Worker-15] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-02-14 16:45:31,778 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1256 actually) to copy filtered resources, i.e. build is platform dependent!
2017-02-14 16:45:31,791 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 4 resources
2017-02-14 16:45:31,798 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1256 actually) to copy filtered resources, i.e. build is platform dependent!
2017-02-14 16:45:31,804 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-02-14 16:46:08,323 [Worker-15] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1256 actually) to copy filtered resources, i.e. build is platform dependent!
2017-02-14 16:46:08,331 [Worker-15] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 4 resources
2017-02-14 16:46:08,350 [Worker-15] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1256 actually) to copy filtered resources, i.e. build is platform dependent!
2017-02-14 16:46:08,356 [Worker-15] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-02-14 16:46:26,297 [Worker-19] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1256 actually) to copy filtered resources, i.e. build is platform dependent!
2017-02-14 16:46:26,307 [Worker-19] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 4 resources
2017-02-14 16:46:26,312 [Worker-19] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1256 actually) to copy filtered resources, i.e. build is platform dependent!
2017-02-14 16:46:26,318 [Worker-19] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-02-14 16:46:32,445 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1256 actually) to copy filtered resources, i.e. build is platform dependent!
2017-02-14 16:46:32,454 [Worker-17] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 4 resources
2017-02-14 16:46:32,456 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1256 actually) to copy filtered resources, i.e. build is platform dependent!
2017-02-14 16:46:32,466 [Worker-17] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-02-14 16:46:53,291 [Worker-9] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1256 actually) to copy filtered resources, i.e. build is platform dependent!
2017-02-14 16:46:53,303 [Worker-9] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 4 resources
2017-02-14 16:46:53,310 [Worker-9] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1256 actually) to copy filtered resources, i.e. build is platform dependent!
2017-02-14 16:46:53,317 [Worker-9] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-02-14 16:47:00,943 [Worker-20] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1256 actually) to copy filtered resources, i.e. build is platform dependent!
2017-02-14 16:47:00,952 [Worker-20] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 4 resources
2017-02-14 16:47:00,953 [Worker-20] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1256 actually) to copy filtered resources, i.e. build is platform dependent!
2017-02-14 16:47:00,960 [Worker-20] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-02-14 16:47:14,649 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1256 actually) to copy filtered resources, i.e. build is platform dependent!
2017-02-14 16:47:14,659 [Worker-17] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 4 resources
2017-02-14 16:47:14,664 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1256 actually) to copy filtered resources, i.e. build is platform dependent!
2017-02-14 16:47:14,669 [Worker-17] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-02-14 16:47:21,787 [Worker-16] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1256 actually) to copy filtered resources, i.e. build is platform dependent!
2017-02-14 16:47:21,793 [Worker-16] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 4 resources
2017-02-14 16:47:21,795 [Worker-16] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1256 actually) to copy filtered resources, i.e. build is platform dependent!
2017-02-14 16:47:21,803 [Worker-16] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-02-14 16:47:24,224 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1256 actually) to copy filtered resources, i.e. build is platform dependent!
2017-02-14 16:47:24,234 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 4 resources
2017-02-14 16:47:24,240 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1256 actually) to copy filtered resources, i.e. build is platform dependent!
2017-02-14 16:47:24,246 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-02-14 16:47:28,381 [Worker-16] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1256 actually) to copy filtered resources, i.e. build is platform dependent!
2017-02-14 16:47:28,410 [Worker-16] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 4 resources
2017-02-14 16:47:28,414 [Worker-16] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1256 actually) to copy filtered resources, i.e. build is platform dependent!
2017-02-14 16:47:28,425 [Worker-16] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-02-14 16:48:06,499 [Worker-18] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1256 actually) to copy filtered resources, i.e. build is platform dependent!
2017-02-14 16:48:06,510 [Worker-18] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 4 resources
2017-02-14 16:48:06,516 [Worker-18] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1256 actually) to copy filtered resources, i.e. build is platform dependent!
2017-02-14 16:48:06,522 [Worker-18] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-02-14 16:49:09,374 [Worker-16] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1256 actually) to copy filtered resources, i.e. build is platform dependent!
2017-02-14 16:49:09,383 [Worker-16] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 4 resources
2017-02-14 16:49:09,385 [Worker-16] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1256 actually) to copy filtered resources, i.e. build is platform dependent!
2017-02-14 16:49:09,392 [Worker-16] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-02-14 16:51:24,134 [Worker-21] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.progressoft.jip:cms-web:0.0.1-SNAPSHOT @ C:\Users\u624\Desktop\cms\cms-web\pom.xml.
